entry_time,exit_time,side,entry_price,exit_price,quantity,pnl,reason,capital_after
2026-08-24T14:25:00+00:00,2026-08-24T14:50:00+00:00,long,4675.52,4672.16,0.8349718720169357,-6.708,signal_exit,774.0775
2026-08-24T14:55:00+00:00,2026-08-24T15:35:00+00:00,long,4674.24,4672.07,0.8280249912138014,-5.6663,signal_exit,768.4112
2026-08-24T16:45:00+00:00,2026-08-24T19:00:00+00:00,short,4660.78,4642.79,0.8243375611244149,10.9952,signal_exit,779.4064
2026-08-24T20:50:00+00:00,2026-08-25T01:00:00+00:00,long,4654.25,4681.1,0.8373061129616404,18.5734,signal_exit,797.9798
2026-08-25T03:40:00+00:00,2026-08-25T04:10:00+00:00,short,4638.02,4640.61,0.8602591101079178,-6.2191,signal_exit,791.7607
2026-08-25T04:20:00+00:00,2026-08-25T05:05:00+00:00,short,4636.42,4638.63,0.8538492063746985,-5.8468,signal_exit,785.914
2026-08-25T08:35:00+00:00,2026-08-25T09:15:00+00:00,short,4633.52,4634.93,0.8480744160995042,-5.126,signal_exit,780.788
2026-08-25T09:20:00+00:00,2026-08-25T09:30:00+00:00,short,4632.41,4640.21,0.842744922307639,-10.4806,signal_exit,770.3074
2026-08-25T13:00:00+00:00,2026-08-25T14:10:00+00:00,short,4636.99,4624.96,0.830611413874822,6.1457,signal_exit,776.4531
2026-08-25T16:50:00+00:00,2026-08-25T16:55:00+00:00,long,4646.74,4645.86,0.8354815188941356,-4.6171,signal_exit,771.836
2026-08-25T17:40:00+00:00,2026-08-25T20:30:00+00:00,long,4645.98,4665.73,0.8306492463413127,12.5379,signal_exit,784.3739
2026-08-25T21:50:00+00:00,2026-08-25T23:15:00+00:00,long,4663.29,4670.75,0.8410091344005829,2.3489,signal_exit,786.7228
2026-08-26T01:30:00+00:00,2026-08-26T01:35:00+00:00,short,4643.19,4648.98,0.847179222650782,-8.8412,signal_exit,777.8816
2026-08-26T05:40:00+00:00,2026-08-26T07:00:00+00:00,short,4641.61,4642.21,0.837943714127382,-4.3924,signal_exit,773.4892
2026-08-26T07:25:00+00:00,2026-08-26T08:40:00+00:00,short,4635.24,4633.22,0.8343571843654672,-2.1812,signal_exit,771.308
2026-08-26T08:45:00+00:00,2026-08-26T09:50:00+00:00,short,4631.95,4627.84,0.8325952973041091,-0.4329,signal_exit,770.8751
2026-08-26T10:05:00+00:00,2026-08-26T10:35:00+00:00,short,4625.61,4628.17,0.8332685800764239,-5.9886,signal_exit,764.8865
2026-08-26T11:05:00+00:00,2026-08-26T11:55:00+00:00,short,4621.38,4628.71,0.8275520360931103,-9.8934,signal_exit,754.9931
2026-08-26T14:25:00+00:00,2026-08-26T15:45:00+00:00,short,4620.01,4612.12,0.8170902918832004,2.6751,signal_exit,757.6682
2026-08-26T15:55:00+00:00,2026-08-26T17:10:00+00:00,short,4600.02,4598.82,0.823548771946011,-2.7996,signal_exit,754.8686
2026-08-26T18:20:00+00:00,2026-08-26T19:25:00+00:00,short,4597.58,4601.64,0.8209412084391025,-7.109,signal_exit,747.7595
2026-08-26T19:50:00+00:00,2026-08-26T20:05:00+00:00,short,4597.0,4599.27,0.8133125359158996,-5.5859,signal_exit,742.1736
2026-08-26T20:10:00+00:00,2026-08-26T20:45:00+00:00,short,4596.54,4597.93,0.8073176837656313,-4.8336,signal_exit,737.34
2026-08-27T01:10:00+00:00,2026-08-27T02:35:00+00:00,long,4627.17,4631.26,0.7967505025046132,-0.4296,signal_exit,736.9104
2026-08-27T03:00:00+00:00,2026-08-27T03:05:00+00:00,long,4637.42,4633.26,0.7945262502777906,-6.9881,signal_exit,729.9223
2026-08-27T03:10:00+00:00,2026-08-27T03:40:00+00:00,long,4637.21,4631.74,0.7870273895322059,-7.9525,signal_exit,721.9698
2026-08-27T08:30:00+00:00,2026-08-27T10:45:00+00:00,short,4603.14,4589.84,0.7842144249584897,6.8254,signal_exit,728.7952
2026-08-27T12:20:00+00:00,2026-08-27T12:30:00+00:00,long,4599.31,4596.21,0.7922875123773513,-6.0988,signal_exit,722.6963
2026-08-27T17:40:00+00:00,2026-08-27T17:45:00+00:00,long,4614.21,4612.22,0.7831203354303088,-5.1711,signal_exit,717.5252
2026-08-27T18:50:00+00:00,2026-08-27T19:25:00+00:00,long,4612.12,4608.18,0.7778692061822532,-6.6509,signal_exit,710.8743
2026-08-28T01:25:00+00:00,2026-08-28T02:25:00+00:00,short,4588.17,4585.83,0.7746817644618876,-1.7407,signal_exit,709.1336
2026-08-28T03:35:00+00:00,2026-08-28T04:20:00+00:00,short,4584.92,4586.7,0.7733325950348906,-4.9229,signal_exit,704.2107
2026-08-28T04:35:00+00:00,2026-08-28T04:55:00+00:00,short,4580.72,4586.68,0.768668165658101,-8.1046,signal_exit,696.1061
2026-08-28T05:05:00+00:00,2026-08-28T05:20:00+00:00,short,4581.32,4586.67,0.7597222213471511,-7.5471,signal_exit,688.559
2026-08-28T05:30:00+00:00,2026-08-28T06:10:00+00:00,short,4581.39,4584.13,0.7514739464138331,-5.5029,signal_exit,683.0562
2026-08-28T09:45:00+00:00,2026-08-28T10:35:00+00:00,long,4606.92,4605.9,0.7413371420779317,-4.1711,signal_exit,678.8851
2026-08-28T12:35:00+00:00,2026-08-28T12:55:00+00:00,short,4592.24,4604.03,0.7391655429668027,-12.1135,signal_exit,666.7716
2026-08-28T15:10:00+00:00,2026-08-28T19:05:00+00:00,short,4562.35,4467.21,0.7307325938401105,66.2228,signal_exit,732.9944
2026-08-28T19:50:00+00:00,2026-08-28T20:05:00+00:00,short,4462.84,4466.86,0.8212196403850648,-6.9679,signal_exit,726.0264
2026-08-28T20:10:00+00:00,2026-08-28T21:15:00+00:00,short,4464.8,4464.53,0.8130559560489784,-3.4105,signal_exit,722.6159
2026-08-28T23:00:00+00:00,2026-08-28T23:15:00+00:00,short,4465.43,4467.0,0.8091224687786125,-4.884,signal_exit,717.7319
2026-08-28T23:55:00+00:00,2026-08-29T00:10:00+00:00,short,4466.23,4468.0,0.803509796818276,-5.0116,signal_exit,712.7203
2026-08-29T00:30:00+00:00,2026-08-29T01:25:00+00:00,short,4466.24,4466.99,0.7978974808366267,-4.1623,signal_exit,708.558
2026-08-29T02:30:00+00:00,2026-08-29T03:35:00+00:00,short,4467.0,4467.24,0.7931027591172605,-3.7332,signal_exit,704.8248
2026-08-29T04:10:00+00:00,2026-08-29T04:25:00+00:00,short,4466.14,4467.27,0.7890759975458278,-4.4162,signal_exit,700.4085
2026-08-29T04:40:00+00:00,2026-08-29T05:05:00+00:00,short,4466.45,4466.85,0.7840774547515588,-3.8158,signal_exit,696.5927
